iter	Passed	Remaining
1567	32175	173023
1568	32233	173208
1569	32260	173222
1570	32286	173229
1571	32312	173236
1572	32350	173309
1573	32371	173291
1574	32399	173313
1575	32432	173358
1576	32457	173362
1577	32476	173333
1578	32499	173323
1579	32516	173281
1580	32531	173234
1581	32576	173344
1582	32620	173449
1583	32682	173645
1584	32713	173678
1585	32736	173672
1586	32759	173662
1587	32775	173618
1588	32792	173578
1589	32808	173534
1590	32831	173524
1591	32858	173539
1592	32876	173506
1593	32899	173498
1594	32916	173458
1595	32950	173504
1596	32993	173601
1597	33013	173581
1598	33032	173549
1599	33050	173517
1600	33073	173505
1601	33097	173505
1602	33122	173505
1603	33210	173836
1604	33241	173870
1605	33265	173866
1606	33287	173853
1607	33355	174078
1608	33387	174118
1609	33435	174235
1610	33492	174406
1611	33520	174423
1612	33577	174589
1613	33616	174665
1614	33640	174657
1615	33659	174631
1616	33681	174616
1617	33703	174601
1618	33724	174581
1619	33777	174724
1620	33795	174691
1621	33811	174646
1622	33828	174604
1623	33845	174561
1624	33862	174524
1625	33880	174484
1626	33898	174450
1627	33915	174410
1628	33932	174367
1629	33948	174326
1630	33964	174279
1631	33979	174229
1632	33995	174181
1633	34009	174128
1634	34024	174078
1635	34043	174046
1636	34064	174027
1637	34080	173980
1638	34097	173938
1639	34110	173882
1640	34124	173824
1641	34191	174038
1642	34223	174074
1643	34242	174043
1644	34254	173980
1645	34267	173920
1646	34282	173868
1647	34300	173832
1648	34316	173788
1649	34332	173741
1650	34347	173690
1651	34364	173653
1652	34381	173612
1653	34400	173583
1654	34416	173540
1655	34447	173570
1656	34479	173605
1657	34502	173597
1658	34553	173725
1659	34573	173702
1660	34592	173669
1661	34608	173624
1662	34625	173587
1663	34646	173568
1664	34663	173527
1665	34682	173494
1666	34699	173454
1667	34716	173415
1668	34732	173372
